epoch=1 train_loss=4833.400902 val_loss=1007.790225
epoch=2 train_loss=1485.058976 val_loss=642.942582
epoch=3 train_loss=853.000886 val_loss=413.013528
epoch=4 train_loss=716.495980 val_loss=396.599747
epoch=5 train_loss=642.817280 val_loss=311.983362
epoch=6 train_loss=420.359878 val_loss=210.939520
epoch=7 train_loss=436.657033 val_loss=265.655817
epoch=8 train_loss=874.198800 val_loss=139.891478
epoch=9 train_loss=202.317427 val_loss=104.143041
epoch=10 train_loss=175.357086 val_loss=107.170354
epoch=11 train_loss=227.737692 val_loss=82.535927
epoch=12 train_loss=161.288842 val_loss=90.870502
epoch=13 train_loss=172.355084 val_loss=85.875225
epoch=14 train_loss=128.935540 val_loss=113.062338
epoch=15 train_loss=125.450754 val_loss=86.083832
epoch=16 train_loss=222.690152 val_loss=85.802224
epoch=17 train_loss=118.933982 val_loss=107.396751
epoch=18 train_loss=109.925124 val_loss=71.697139
epoch=19 train_loss=99.996830 val_loss=67.723627
epoch=20 train_loss=95.537989 val_loss=89.523150
epoch=21 train_loss=104.736032 val_loss=97.629026
epoch=22 train_loss=90.876523 val_loss=54.975362
epoch=23 train_loss=70.124022 val_loss=51.962706
epoch=24 train_loss=91.502799 val_loss=68.887518
epoch=25 train_loss=88.046577 val_loss=38.620342
epoch=26 train_loss=74.519574 val_loss=95.753816
epoch=27 train_loss=77.195439 val_loss=44.187199
epoch=28 train_loss=103.004459 val_loss=65.607819
epoch=29 train_loss=78.795496 val_loss=47.102882
epoch=30 train_loss=78.332294 val_loss=63.514660
epoch=31 train_loss=80.374243 val_loss=57.182106
epoch=32 train_loss=78.839898 val_loss=41.807825
epoch=33 train_loss=89.678952 val_loss=57.689233
epoch=34 train_loss=71.143535 val_loss=43.266135
epoch=35 train_loss=68.848209 val_loss=54.900428
epoch=36 train_loss=125.058222 val_loss=53.038499
epoch=37 train_loss=65.986818 val_loss=44.873271
epoch=38 train_loss=66.534681 val_loss=43.869713
epoch=39 train_loss=62.050327 val_loss=45.127437
epoch=40 train_loss=57.628352 val_loss=41.045349
epoch=41 train_loss=60.316957 val_loss=37.225278
epoch=42 train_loss=62.059686 val_loss=36.120634
epoch=43 train_loss=58.530554 val_loss=35.593101
epoch=44 train_loss=69.658080 val_loss=36.868205
epoch=45 train_loss=55.492413 val_loss=38.595298
epoch=46 train_loss=58.002533 val_loss=38.143845
epoch=47 train_loss=65.628376 val_loss=37.822694
epoch=48 train_loss=129.338780 val_loss=48.737785
epoch=49 train_loss=65.459622 val_loss=37.324477
epoch=50 train_loss=90.719761 val_loss=36.433485
