epoch=1 train_loss=3907.897001 val_loss=761.473885
epoch=2 train_loss=1484.824109 val_loss=618.973202
epoch=3 train_loss=1077.384031 val_loss=1122.135597
epoch=4 train_loss=790.146670 val_loss=460.764395
epoch=5 train_loss=467.772206 val_loss=320.645649
epoch=6 train_loss=554.018676 val_loss=294.946320
epoch=7 train_loss=383.963150 val_loss=370.896057
epoch=8 train_loss=348.619020 val_loss=366.531688
epoch=9 train_loss=408.658646 val_loss=321.585507
epoch=10 train_loss=353.779679 val_loss=141.343756
epoch=11 train_loss=206.597475 val_loss=337.626564
epoch=12 train_loss=210.537211 val_loss=185.716720
epoch=13 train_loss=229.349956 val_loss=125.243573
epoch=14 train_loss=434.901703 val_loss=150.655070
epoch=15 train_loss=160.558821 val_loss=94.473961
epoch=16 train_loss=173.229432 val_loss=199.044859
epoch=17 train_loss=228.217682 val_loss=173.304926
epoch=18 train_loss=184.311900 val_loss=113.375168
epoch=19 train_loss=137.855838 val_loss=81.180526
epoch=20 train_loss=138.832753 val_loss=155.460887
epoch=21 train_loss=132.433600 val_loss=80.930974
epoch=22 train_loss=101.142191 val_loss=57.326464
epoch=23 train_loss=179.404422 val_loss=61.673541
epoch=24 train_loss=90.000784 val_loss=53.139813
epoch=25 train_loss=272.001156 val_loss=75.770302
epoch=26 train_loss=91.241522 val_loss=89.685492
epoch=27 train_loss=84.430710 val_loss=32.900546
epoch=28 train_loss=78.395385 val_loss=39.107019
epoch=29 train_loss=84.130322 val_loss=49.098879
epoch=30 train_loss=74.270014 val_loss=55.499345
epoch=31 train_loss=125.748268 val_loss=50.884598
epoch=32 train_loss=72.311049 val_loss=59.988178
epoch=33 train_loss=74.947345 val_loss=53.441212
epoch=34 train_loss=65.975723 val_loss=36.382187
epoch=35 train_loss=87.136282 val_loss=57.615768
epoch=36 train_loss=57.980657 val_loss=33.917813
epoch=37 train_loss=71.736882 val_loss=56.985033
epoch=38 train_loss=74.245328 val_loss=67.463788
epoch=39 train_loss=61.716150 val_loss=52.414087
epoch=40 train_loss=57.527448 val_loss=43.248498
epoch=41 train_loss=128.433472 val_loss=39.291135
epoch=42 train_loss=53.045908 val_loss=34.136016
epoch=43 train_loss=54.181971 val_loss=37.071627
epoch=44 train_loss=59.190787 val_loss=35.848238
epoch=45 train_loss=121.393295 val_loss=39.177973
epoch=46 train_loss=50.349091 val_loss=34.366659
epoch=47 train_loss=46.801182 val_loss=31.891062
epoch=48 train_loss=50.261938 val_loss=36.217268
epoch=49 train_loss=69.039991 val_loss=37.318615
epoch=50 train_loss=63.933017 val_loss=37.195827
