epoch=1 train_loss=5112.118951 val_loss=893.726320
epoch=2 train_loss=962.901334 val_loss=394.431162
epoch=3 train_loss=799.496743 val_loss=362.561597
epoch=4 train_loss=655.300710 val_loss=199.362657
epoch=5 train_loss=547.414662 val_loss=246.028709
epoch=6 train_loss=483.224252 val_loss=170.338862
epoch=7 train_loss=322.741240 val_loss=199.723925
epoch=8 train_loss=281.975669 val_loss=147.828668
epoch=9 train_loss=241.896128 val_loss=224.921612
epoch=10 train_loss=195.816611 val_loss=149.198084
epoch=11 train_loss=165.858390 val_loss=125.399140
epoch=12 train_loss=185.931699 val_loss=109.258764
epoch=13 train_loss=198.525387 val_loss=150.636823
epoch=14 train_loss=387.308148 val_loss=142.919350
epoch=15 train_loss=187.267926 val_loss=105.820694
epoch=16 train_loss=166.514533 val_loss=178.699538
epoch=17 train_loss=196.310864 val_loss=88.983493
epoch=18 train_loss=157.468295 val_loss=94.319277
epoch=19 train_loss=126.491534 val_loss=110.035817
epoch=20 train_loss=134.756599 val_loss=71.296170
epoch=21 train_loss=114.331395 val_loss=62.191049
epoch=22 train_loss=103.654715 val_loss=69.559801
epoch=23 train_loss=120.859413 val_loss=102.432813
epoch=24 train_loss=110.017734 val_loss=55.907633
epoch=25 train_loss=124.185075 val_loss=62.544991
epoch=26 train_loss=77.619081 val_loss=69.350767
epoch=27 train_loss=81.619433 val_loss=74.110765
epoch=28 train_loss=78.085383 val_loss=58.775346
epoch=29 train_loss=74.304780 val_loss=59.696524
epoch=30 train_loss=94.034093 val_loss=70.192705
epoch=31 train_loss=87.431002 val_loss=67.449788
epoch=32 train_loss=84.257122 val_loss=50.544925
epoch=33 train_loss=63.916912 val_loss=57.959889
epoch=34 train_loss=66.040648 val_loss=40.974327
epoch=35 train_loss=60.230400 val_loss=41.578305
epoch=36 train_loss=53.121527 val_loss=63.456646
epoch=37 train_loss=56.757753 val_loss=48.132424
epoch=38 train_loss=54.542724 val_loss=32.984259
epoch=39 train_loss=56.224275 val_loss=43.296406
epoch=40 train_loss=53.748274 val_loss=53.543317
epoch=41 train_loss=55.035966 val_loss=32.994061
epoch=42 train_loss=57.198070 val_loss=34.264358
epoch=43 train_loss=73.053942 val_loss=41.561049
epoch=44 train_loss=44.672532 val_loss=31.788015
epoch=45 train_loss=43.600151 val_loss=33.621613
epoch=46 train_loss=50.342509 val_loss=28.971944
epoch=47 train_loss=63.693682 val_loss=34.520906
epoch=48 train_loss=47.638480 val_loss=32.441968
epoch=49 train_loss=46.691838 val_loss=31.782530
epoch=50 train_loss=53.430403 val_loss=33.655027
