epoch=1 train_loss=6736.684100 val_loss=1746.591771
epoch=2 train_loss=1488.364586 val_loss=710.286791
epoch=3 train_loss=876.279633 val_loss=396.934681
epoch=4 train_loss=927.172576 val_loss=369.212572
epoch=5 train_loss=628.351494 val_loss=460.099947
epoch=6 train_loss=584.947815 val_loss=550.783578
epoch=7 train_loss=508.467478 val_loss=222.082572
epoch=8 train_loss=397.434111 val_loss=262.893245
epoch=9 train_loss=359.238033 val_loss=205.408254
epoch=10 train_loss=457.603513 val_loss=150.807444
epoch=11 train_loss=198.693411 val_loss=207.125484
epoch=12 train_loss=219.350998 val_loss=109.615553
epoch=13 train_loss=160.838473 val_loss=111.059236
epoch=14 train_loss=147.335578 val_loss=99.284348
epoch=15 train_loss=161.131529 val_loss=120.097346
epoch=16 train_loss=168.152093 val_loss=105.275229
epoch=17 train_loss=139.472557 val_loss=81.563758
epoch=18 train_loss=131.778795 val_loss=259.583450
epoch=19 train_loss=139.157807 val_loss=78.612475
epoch=20 train_loss=366.342694 val_loss=68.037459
epoch=21 train_loss=111.038184 val_loss=66.010419
epoch=22 train_loss=158.062233 val_loss=118.568672
epoch=23 train_loss=125.893081 val_loss=98.160488
epoch=24 train_loss=120.945763 val_loss=67.236176
epoch=25 train_loss=112.997396 val_loss=267.368388
epoch=26 train_loss=93.432044 val_loss=59.281280
epoch=27 train_loss=84.626394 val_loss=97.651344
epoch=28 train_loss=102.426441 val_loss=73.565919
epoch=29 train_loss=107.925426 val_loss=66.381812
epoch=30 train_loss=101.672436 val_loss=69.873678
epoch=31 train_loss=80.419979 val_loss=50.432842
epoch=32 train_loss=77.558498 val_loss=46.346312
epoch=33 train_loss=69.543197 val_loss=50.653475
epoch=34 train_loss=75.534452 val_loss=84.037119
epoch=35 train_loss=70.265215 val_loss=44.451086
epoch=36 train_loss=66.203549 val_loss=49.800593
epoch=37 train_loss=82.374236 val_loss=51.594488
epoch=38 train_loss=76.482159 val_loss=34.958600
epoch=39 train_loss=63.065070 val_loss=38.595159
epoch=40 train_loss=60.028743 val_loss=43.330287
epoch=41 train_loss=64.448203 val_loss=35.959771
epoch=42 train_loss=66.634975 val_loss=43.664941
epoch=43 train_loss=62.421697 val_loss=34.821546
epoch=44 train_loss=61.724236 val_loss=52.320925
epoch=45 train_loss=61.899773 val_loss=64.575519
epoch=46 train_loss=86.220487 val_loss=41.003954
epoch=47 train_loss=127.823285 val_loss=32.387270
epoch=48 train_loss=65.021954 val_loss=35.621132
epoch=49 train_loss=57.329456 val_loss=58.692150
epoch=50 train_loss=67.370795 val_loss=34.417291
