epoch=1 train_loss=3904.428250 val_loss=819.500867
epoch=2 train_loss=1471.173920 val_loss=395.462688
epoch=3 train_loss=815.263178 val_loss=319.783905
epoch=4 train_loss=457.206580 val_loss=279.254249
epoch=5 train_loss=496.129931 val_loss=379.622526
epoch=6 train_loss=566.758938 val_loss=199.993742
epoch=7 train_loss=269.569643 val_loss=214.454110
epoch=8 train_loss=196.187858 val_loss=195.784335
epoch=9 train_loss=233.956156 val_loss=251.595650
epoch=10 train_loss=200.595059 val_loss=142.014582
epoch=11 train_loss=137.563403 val_loss=112.230444
epoch=12 train_loss=141.252933 val_loss=99.393594
epoch=13 train_loss=137.102696 val_loss=90.148916
epoch=14 train_loss=128.732463 val_loss=76.317855
epoch=15 train_loss=147.887095 val_loss=200.786872
epoch=16 train_loss=102.026760 val_loss=101.660052
epoch=17 train_loss=109.916890 val_loss=79.100948
epoch=18 train_loss=153.793115 val_loss=101.560812
epoch=19 train_loss=106.461770 val_loss=64.124560
epoch=20 train_loss=218.971211 val_loss=115.781537
epoch=21 train_loss=115.582418 val_loss=85.695498
epoch=22 train_loss=179.599515 val_loss=82.089223
epoch=23 train_loss=115.691522 val_loss=50.240700
epoch=24 train_loss=71.543550 val_loss=71.581367
epoch=25 train_loss=82.200779 val_loss=60.609491
epoch=26 train_loss=77.018740 val_loss=39.698823
epoch=27 train_loss=115.320238 val_loss=34.298698
epoch=28 train_loss=71.746852 val_loss=52.954338
epoch=29 train_loss=85.329167 val_loss=48.225765
epoch=30 train_loss=72.191682 val_loss=40.404438
epoch=31 train_loss=55.003863 val_loss=57.811670
epoch=32 train_loss=75.158015 val_loss=51.001079
epoch=33 train_loss=67.992382 val_loss=70.650342
epoch=34 train_loss=61.170834 val_loss=33.070299
epoch=35 train_loss=43.955463 val_loss=40.190834
epoch=36 train_loss=39.547207 val_loss=35.069537
epoch=37 train_loss=43.167733 val_loss=34.245417
epoch=38 train_loss=40.329373 val_loss=33.397345
epoch=39 train_loss=208.232502 val_loss=33.015963
epoch=40 train_loss=47.298123 val_loss=34.369288
epoch=41 train_loss=50.459441 val_loss=29.660004
epoch=42 train_loss=36.744482 val_loss=34.429362
epoch=43 train_loss=43.400213 val_loss=29.557829
epoch=44 train_loss=37.127781 val_loss=36.357864
epoch=45 train_loss=36.131429 val_loss=27.132888
epoch=46 train_loss=39.182321 val_loss=28.144702
epoch=47 train_loss=32.300721 val_loss=25.543888
epoch=48 train_loss=38.094581 val_loss=28.931311
epoch=49 train_loss=38.487913 val_loss=28.287956
epoch=50 train_loss=36.639413 val_loss=28.657368
