epoch=1 train_loss=4576.735785 val_loss=1032.993531
epoch=2 train_loss=1262.874766 val_loss=443.358746
epoch=3 train_loss=762.093753 val_loss=820.574627
epoch=4 train_loss=794.645263 val_loss=462.698776
epoch=5 train_loss=563.418991 val_loss=288.352816
epoch=6 train_loss=537.339036 val_loss=790.049133
epoch=7 train_loss=397.676447 val_loss=240.824748
epoch=8 train_loss=240.044610 val_loss=185.017213
epoch=9 train_loss=212.125806 val_loss=210.322803
epoch=10 train_loss=181.529713 val_loss=84.130666
epoch=11 train_loss=171.267591 val_loss=123.455755
epoch=12 train_loss=133.593643 val_loss=121.915996
epoch=13 train_loss=185.886283 val_loss=123.053554
epoch=14 train_loss=179.199345 val_loss=116.235405
epoch=15 train_loss=129.041709 val_loss=83.920640
epoch=16 train_loss=114.266564 val_loss=156.338104
epoch=17 train_loss=121.246643 val_loss=97.068803
epoch=18 train_loss=119.933075 val_loss=94.690160
epoch=19 train_loss=126.875986 val_loss=83.802690
epoch=20 train_loss=110.586070 val_loss=81.401980
epoch=21 train_loss=98.070924 val_loss=56.823457
epoch=22 train_loss=150.973344 val_loss=64.719628
epoch=23 train_loss=214.382355 val_loss=59.780664
epoch=24 train_loss=77.684157 val_loss=87.295329
epoch=25 train_loss=92.539894 val_loss=67.674651
epoch=26 train_loss=114.634022 val_loss=77.913195
epoch=27 train_loss=79.499084 val_loss=67.094762
epoch=28 train_loss=124.599027 val_loss=55.838563
epoch=29 train_loss=79.534315 val_loss=48.213392
epoch=30 train_loss=73.132268 val_loss=44.201485
epoch=31 train_loss=117.188356 val_loss=50.519039
epoch=32 train_loss=78.480047 val_loss=52.475679
epoch=33 train_loss=77.334579 val_loss=56.172430
epoch=34 train_loss=126.901112 val_loss=48.991256
epoch=35 train_loss=84.417194 val_loss=68.074991
epoch=36 train_loss=74.827790 val_loss=41.075572
epoch=37 train_loss=76.848742 val_loss=49.878805
epoch=38 train_loss=74.790001 val_loss=45.113760
epoch=39 train_loss=74.906502 val_loss=69.585443
epoch=40 train_loss=72.435882 val_loss=42.792571
epoch=41 train_loss=62.052188 val_loss=43.266148
epoch=42 train_loss=60.285949 val_loss=38.756832
epoch=43 train_loss=64.190598 val_loss=33.570525
epoch=44 train_loss=60.319976 val_loss=41.457907
epoch=45 train_loss=59.351245 val_loss=40.520131
epoch=46 train_loss=57.684648 val_loss=42.349203
epoch=47 train_loss=58.637254 val_loss=48.164241
epoch=48 train_loss=52.493491 val_loss=35.930271
epoch=49 train_loss=63.126264 val_loss=40.870990
epoch=50 train_loss=57.205393 val_loss=41.448896
