epoch=1 train_loss=4602.541758 val_loss=868.112328
epoch=2 train_loss=1179.081551 val_loss=409.760686
epoch=3 train_loss=930.568106 val_loss=442.011409
epoch=4 train_loss=563.166052 val_loss=259.612431
epoch=5 train_loss=432.234131 val_loss=157.873185
epoch=6 train_loss=211.630339 val_loss=132.676520
epoch=7 train_loss=179.188564 val_loss=127.962891
epoch=8 train_loss=214.182559 val_loss=158.554598
epoch=9 train_loss=175.486340 val_loss=115.546097
epoch=10 train_loss=174.423094 val_loss=135.242073
epoch=11 train_loss=202.126632 val_loss=89.474541
epoch=12 train_loss=157.380070 val_loss=139.248127
epoch=13 train_loss=133.703917 val_loss=87.909104
epoch=14 train_loss=104.018244 val_loss=54.471223
epoch=15 train_loss=129.758206 val_loss=70.658047
epoch=16 train_loss=89.387737 val_loss=180.637220
epoch=17 train_loss=108.666332 val_loss=70.100029
epoch=18 train_loss=92.775610 val_loss=71.587850
epoch=19 train_loss=114.195616 val_loss=54.472559
epoch=20 train_loss=88.476895 val_loss=42.320658
epoch=21 train_loss=79.921979 val_loss=43.345152
epoch=22 train_loss=77.415262 val_loss=60.351856
epoch=23 train_loss=65.191036 val_loss=51.500482
epoch=24 train_loss=146.912479 val_loss=64.999112
epoch=25 train_loss=65.358702 val_loss=113.001942
epoch=26 train_loss=59.589889 val_loss=36.930250
epoch=27 train_loss=73.401631 val_loss=47.297538
epoch=28 train_loss=76.277959 val_loss=49.065800
epoch=29 train_loss=54.170331 val_loss=56.626421
epoch=30 train_loss=59.548317 val_loss=39.810393
epoch=31 train_loss=53.121352 val_loss=38.707578
epoch=32 train_loss=62.189011 val_loss=38.791039
epoch=33 train_loss=57.446953 val_loss=50.144694
epoch=34 train_loss=49.634609 val_loss=27.973907
epoch=35 train_loss=66.491882 val_loss=40.112535
epoch=36 train_loss=40.541648 val_loss=38.579247
epoch=37 train_loss=41.597347 val_loss=63.878984
epoch=38 train_loss=45.786635 val_loss=35.143452
epoch=39 train_loss=110.425328 val_loss=29.943453
epoch=40 train_loss=65.193653 val_loss=34.896718
epoch=41 train_loss=58.489931 val_loss=40.741298
epoch=42 train_loss=50.662508 val_loss=25.583289
epoch=43 train_loss=44.670219 val_loss=33.782404
epoch=44 train_loss=37.890703 val_loss=23.425411
epoch=45 train_loss=38.088889 val_loss=30.876832
epoch=46 train_loss=38.173838 val_loss=24.050234
epoch=47 train_loss=35.938337 val_loss=42.244649
epoch=48 train_loss=37.055580 val_loss=100.904285
epoch=49 train_loss=37.764110 val_loss=29.625378
epoch=50 train_loss=48.046758 val_loss=28.653195
