epoch=1 train_loss=8401.340122 val_loss=1579.859323
epoch=2 train_loss=1336.040000 val_loss=785.252326
epoch=3 train_loss=1112.521863 val_loss=455.797739
epoch=4 train_loss=923.860007 val_loss=553.881735
epoch=5 train_loss=674.733979 val_loss=348.294453
epoch=6 train_loss=574.410800 val_loss=225.420221
epoch=7 train_loss=388.664259 val_loss=184.034623
epoch=8 train_loss=389.777157 val_loss=257.522361
epoch=9 train_loss=286.431346 val_loss=192.389269
epoch=10 train_loss=269.310610 val_loss=161.068261
epoch=11 train_loss=205.960046 val_loss=168.632050
epoch=12 train_loss=182.972894 val_loss=124.313555
epoch=13 train_loss=150.008358 val_loss=111.993739
epoch=14 train_loss=145.676928 val_loss=77.109681
epoch=15 train_loss=132.980460 val_loss=95.523011
epoch=16 train_loss=128.108369 val_loss=102.591489
epoch=17 train_loss=162.152648 val_loss=67.794323
epoch=18 train_loss=119.196577 val_loss=114.596122
epoch=19 train_loss=146.763875 val_loss=107.074434
epoch=20 train_loss=116.217588 val_loss=69.576158
epoch=21 train_loss=125.390177 val_loss=67.103616
epoch=22 train_loss=111.132419 val_loss=84.341257
epoch=23 train_loss=127.489867 val_loss=78.154840
epoch=24 train_loss=102.074237 val_loss=70.424470
epoch=25 train_loss=95.988355 val_loss=61.687721
epoch=26 train_loss=120.585372 val_loss=70.359473
epoch=27 train_loss=101.320135 val_loss=56.285610
epoch=28 train_loss=81.798894 val_loss=62.771096
epoch=29 train_loss=79.612901 val_loss=59.835319
epoch=30 train_loss=75.344417 val_loss=53.378388
epoch=31 train_loss=70.670565 val_loss=60.934103
epoch=32 train_loss=70.374640 val_loss=42.317050
epoch=33 train_loss=70.304999 val_loss=60.388615
epoch=34 train_loss=121.407214 val_loss=48.305922
epoch=35 train_loss=82.971715 val_loss=60.424817
epoch=36 train_loss=76.614083 val_loss=50.698442
epoch=37 train_loss=63.699930 val_loss=51.378071
epoch=38 train_loss=63.219166 val_loss=41.755118
epoch=39 train_loss=66.572985 val_loss=47.380073
epoch=40 train_loss=62.639600 val_loss=37.905024
epoch=41 train_loss=72.271098 val_loss=49.742544
epoch=42 train_loss=60.780685 val_loss=39.590125
epoch=43 train_loss=66.827696 val_loss=51.529906
epoch=44 train_loss=68.345957 val_loss=34.765785
epoch=45 train_loss=57.343142 val_loss=41.846089
epoch=46 train_loss=95.650702 val_loss=32.690541
epoch=47 train_loss=67.856113 val_loss=33.827658
epoch=48 train_loss=52.358050 val_loss=39.261289
epoch=49 train_loss=58.489569 val_loss=33.901496
epoch=50 train_loss=56.002113 val_loss=32.818931
