epoch=1 train_loss=4653.625581 val_loss=1083.862754
epoch=2 train_loss=1967.599303 val_loss=748.599764
epoch=3 train_loss=1008.957881 val_loss=1205.059408
epoch=4 train_loss=870.721646 val_loss=574.006495
epoch=5 train_loss=838.084052 val_loss=496.274728
epoch=6 train_loss=465.101383 val_loss=270.838374
epoch=7 train_loss=436.361863 val_loss=225.735076
epoch=8 train_loss=281.216376 val_loss=229.082095
epoch=9 train_loss=346.630555 val_loss=216.663109
epoch=10 train_loss=258.527981 val_loss=159.541661
epoch=11 train_loss=284.708168 val_loss=214.116785
epoch=12 train_loss=251.859013 val_loss=116.596581
epoch=13 train_loss=297.335046 val_loss=114.536498
epoch=14 train_loss=195.254825 val_loss=191.874211
epoch=15 train_loss=179.552279 val_loss=136.751022
epoch=16 train_loss=165.843594 val_loss=106.546047
epoch=17 train_loss=150.215601 val_loss=145.183873
epoch=18 train_loss=170.900552 val_loss=131.305465
epoch=19 train_loss=198.390214 val_loss=89.646869
epoch=20 train_loss=160.028147 val_loss=134.500332
epoch=21 train_loss=181.191926 val_loss=146.166604
epoch=22 train_loss=161.211762 val_loss=115.025334
epoch=23 train_loss=140.953694 val_loss=78.914884
epoch=24 train_loss=139.678487 val_loss=80.319096
epoch=25 train_loss=121.157188 val_loss=70.586385
epoch=26 train_loss=134.551952 val_loss=97.405605
epoch=27 train_loss=100.627212 val_loss=79.058232
epoch=28 train_loss=104.134130 val_loss=102.841989
epoch=29 train_loss=101.885094 val_loss=66.450135
epoch=30 train_loss=92.652716 val_loss=54.040611
epoch=31 train_loss=80.370890 val_loss=64.801168
epoch=32 train_loss=90.300409 val_loss=68.143210
epoch=33 train_loss=80.023761 val_loss=51.021239
epoch=34 train_loss=78.162183 val_loss=47.551810
epoch=35 train_loss=64.312929 val_loss=66.381785
epoch=36 train_loss=65.027786 val_loss=52.032642
epoch=37 train_loss=65.108172 val_loss=50.381444
epoch=38 train_loss=86.838467 val_loss=50.916580
epoch=39 train_loss=91.151754 val_loss=50.872447
epoch=40 train_loss=76.135855 val_loss=63.991853
epoch=41 train_loss=74.068652 val_loss=46.113931
epoch=42 train_loss=90.738022 val_loss=53.125918
epoch=43 train_loss=126.760967 val_loss=44.247093
epoch=44 train_loss=62.851047 val_loss=45.336480
epoch=45 train_loss=73.347992 val_loss=83.487104
epoch=46 train_loss=70.415064 val_loss=48.201612
epoch=47 train_loss=439.077875 val_loss=40.217483
epoch=48 train_loss=66.805194 val_loss=39.693589
epoch=49 train_loss=79.667676 val_loss=42.359657
epoch=50 train_loss=63.412684 val_loss=50.408252
