epoch=1 train_loss=6347.093408 val_loss=1535.525219
epoch=2 train_loss=1300.621839 val_loss=539.760219
epoch=3 train_loss=887.583479 val_loss=303.840905
epoch=4 train_loss=804.643974 val_loss=278.350665
epoch=5 train_loss=527.577192 val_loss=253.829549
epoch=6 train_loss=408.362977 val_loss=145.299148
epoch=7 train_loss=329.334771 val_loss=129.192248
epoch=8 train_loss=241.410252 val_loss=179.080091
epoch=9 train_loss=222.879881 val_loss=120.861371
epoch=10 train_loss=163.087093 val_loss=93.099176
epoch=11 train_loss=118.052509 val_loss=79.046207
epoch=12 train_loss=167.162791 val_loss=83.761509
epoch=13 train_loss=121.895155 val_loss=76.720379
epoch=14 train_loss=109.053148 val_loss=74.537942
epoch=15 train_loss=124.467524 val_loss=70.789958
epoch=16 train_loss=128.092792 val_loss=62.014172
epoch=17 train_loss=94.449385 val_loss=57.943825
epoch=18 train_loss=92.785538 val_loss=67.580006
epoch=19 train_loss=97.032721 val_loss=59.925601
epoch=20 train_loss=122.455785 val_loss=58.600154
epoch=21 train_loss=94.718648 val_loss=297.663179
epoch=22 train_loss=99.780334 val_loss=49.956842
epoch=23 train_loss=76.275216 val_loss=65.328117
epoch=24 train_loss=114.930944 val_loss=51.956739
epoch=25 train_loss=115.603863 val_loss=74.373505
epoch=26 train_loss=92.231296 val_loss=62.403723
epoch=27 train_loss=94.003627 val_loss=60.372617
epoch=28 train_loss=90.307177 val_loss=59.854579
epoch=29 train_loss=79.449550 val_loss=49.382343
epoch=30 train_loss=80.104076 val_loss=46.154030
epoch=31 train_loss=72.543198 val_loss=61.379780
epoch=32 train_loss=82.091574 val_loss=51.631465
epoch=33 train_loss=82.937600 val_loss=60.116346
epoch=34 train_loss=81.799445 val_loss=40.131053
epoch=35 train_loss=72.034707 val_loss=49.232954
epoch=36 train_loss=76.937575 val_loss=51.410549
epoch=37 train_loss=106.986339 val_loss=56.797998
epoch=38 train_loss=79.750169 val_loss=46.770900
epoch=39 train_loss=113.029175 val_loss=41.937803
epoch=40 train_loss=68.456412 val_loss=84.414901
epoch=41 train_loss=67.309585 val_loss=37.653101
epoch=42 train_loss=60.868774 val_loss=36.595896
epoch=43 train_loss=64.029870 val_loss=35.544827
epoch=44 train_loss=67.291710 val_loss=35.471891
epoch=45 train_loss=66.758204 val_loss=42.765431
epoch=46 train_loss=62.098291 val_loss=31.944617
epoch=47 train_loss=58.556067 val_loss=35.656852
epoch=48 train_loss=63.651936 val_loss=60.299815
epoch=49 train_loss=54.610741 val_loss=37.915160
epoch=50 train_loss=67.487880 val_loss=35.989483
