epoch=1 train_loss=4420.777247 val_loss=889.985635
epoch=2 train_loss=2025.592837 val_loss=558.916570
epoch=3 train_loss=1048.390394 val_loss=696.586696
epoch=4 train_loss=983.070959 val_loss=1727.979002
epoch=5 train_loss=510.425759 val_loss=345.391753
epoch=6 train_loss=531.795576 val_loss=412.250156
epoch=7 train_loss=323.428735 val_loss=284.234394
epoch=8 train_loss=258.951301 val_loss=150.873571
epoch=9 train_loss=206.161031 val_loss=156.919742
epoch=10 train_loss=193.156403 val_loss=116.170166
epoch=11 train_loss=259.301535 val_loss=178.773099
epoch=12 train_loss=265.674104 val_loss=150.203956
epoch=13 train_loss=171.630379 val_loss=133.673157
epoch=14 train_loss=169.888660 val_loss=130.406312
epoch=15 train_loss=167.224363 val_loss=193.846419
epoch=16 train_loss=149.869789 val_loss=74.849318
epoch=17 train_loss=158.052902 val_loss=127.403767
epoch=18 train_loss=113.630340 val_loss=83.783484
epoch=19 train_loss=121.641456 val_loss=102.816860
epoch=20 train_loss=125.433755 val_loss=132.716351
epoch=21 train_loss=106.101529 val_loss=94.838957
epoch=22 train_loss=171.841829 val_loss=96.459206
epoch=23 train_loss=118.493499 val_loss=64.871649
epoch=24 train_loss=158.094160 val_loss=101.914030
epoch=25 train_loss=179.430989 val_loss=67.825963
epoch=26 train_loss=137.803536 val_loss=64.022447
epoch=27 train_loss=267.430477 val_loss=57.770674
epoch=28 train_loss=118.637972 val_loss=61.842182
epoch=29 train_loss=105.225342 val_loss=74.973878
epoch=30 train_loss=88.468855 val_loss=59.893062
epoch=31 train_loss=125.194660 val_loss=53.187908
epoch=32 train_loss=89.761171 val_loss=62.972210
epoch=33 train_loss=73.915959 val_loss=55.371860
epoch=34 train_loss=96.647377 val_loss=51.285181
epoch=35 train_loss=71.582899 val_loss=61.222775
epoch=36 train_loss=78.865041 val_loss=52.876234
epoch=37 train_loss=82.937329 val_loss=57.274228
epoch=38 train_loss=74.723482 val_loss=207.121232
epoch=39 train_loss=60.080558 val_loss=45.497435
epoch=40 train_loss=61.492481 val_loss=45.014407
epoch=41 train_loss=50.985391 val_loss=34.984018
epoch=42 train_loss=55.168066 val_loss=38.076153
epoch=43 train_loss=59.427273 val_loss=43.047442
epoch=44 train_loss=69.664052 val_loss=39.951829
epoch=45 train_loss=54.065271 val_loss=31.403864
epoch=46 train_loss=164.787214 val_loss=39.187357
epoch=47 train_loss=56.758259 val_loss=46.888759
epoch=48 train_loss=51.739771 val_loss=116.948710
epoch=49 train_loss=54.555979 val_loss=38.446207
epoch=50 train_loss=61.742424 val_loss=39.670301
